"","Var1","Freq"
"1","(FALLS CREEK)",4
"2","(LAKE MOUNTAIN)",2
"3","(MOUNT BAW BAW)",1
"4","(MOUNT BULLER)",5
"5","(MOUNT HOTHAM)",9
"6","(MOUNT STIRLING)",1
"7","ALPINE",73
"8","ARARAT",52
"9","ARARAT,MOYNE",1
"10","ARARAT,PYRENEES",1
"11","BALLARAT",367
"12","BALLARAT,GOLDEN PLAINS",4
"13","BALLARAT,HEPBURN",1
"14","BALLARAT,MOORABOOL",2
"15","BANYULE",288
"16","BANYULE,DAREBIN",2
"17","BANYULE,NILLUMBIK",12
"18","BASS COAST",123
"19","BASS COAST,CARDINIA",1
"20","BASS COAST,SOUTH GIPPSLAND",2
"21","BAW BAW",254
"22","BAW BAW,CARDINIA",1
"23","BAW BAW,LATROBE",1
"24","BAW BAW,YARRA RANGES",5
"25","BAYSIDE",218
"26","BAYSIDE,GLEN EIRA",9
"27","BAYSIDE,KINGSTON",7
"28","BAYSIDE,PORT PHILLIP",8
"29","BENALLA",74
"30","BENALLA,STRATHBOGIE",1
"31","BENDIGO",378
"32","BENDIGO,MITCHELL",2
"33","BENDIGO,MOUNT ALEXANDER",1
"34","BOROONDARA",387
"35","BOROONDARA,MONASH",15
"36","BOROONDARA,WHITEHORSE",10
"37","BOROONDARA,YARRA",1
"38","BRIMBANK",596
"39","BRIMBANK,HOBSONS BAY",14
"40","BRIMBANK,HUME",1
"41","BRIMBANK,MARIBYRNONG",7
"42","BRIMBANK,MELTON",10
"43","BULOKE",26
"44","BULOKE,YARRIAMBIACK",1
"45","CAMPASPE",137
"46","CAMPASPE,SHEPPARTON",2
"47","CARDINIA",311
"48","CARDINIA,YARRA RANGES",4
"49","CASEY",834
"50","CASEY,CARDINIA",3
"51","CASEY,FRANKSTON",1
"52","CASEY,MORNINGTON PENINSULA",1
"53","CASEY,YARRA RANGES",1
"54","CENTRAL GOLDFIELDS",39
"55","CENTRAL GOLDFIELDS,HEPBURN",1
"56","COLAC OTWAY",136
"57","COLAC OTWAY,CORANGAMITE",8
"58","COLAC OTWAY,SURF COAST",5
"59","CORANGAMITE",70
"60","CORANGAMITE,MOYNE",3
"61","DANDENONG",594
"62","DANDENONG,FRANKSTON",15
"63","DANDENONG,KINGSTON",16
"64","DANDENONG,KINGSTON,MONASH",2
"65","DANDENONG,MONASH",26
"66","DAREBIN",428
"67","DAREBIN,MORELAND",8
"68","DAREBIN,YARRA",12
"69","EAST GIPPSLAND",211
"70","EAST GIPPSLAND,WELLINGTON",2
"71","FRANKSTON",347
"72","GANNAWARRA",49
"73","GEELONG",779
"74","GEELONG,GOLDEN PLAINS",1
"75","GEELONG,MOORABOOL",1
"76","GEELONG,QUEENSCLIFFE",2
"77","GEELONG,SURF COAST",4
"78","GLEN EIRA",327
"79","GLEN EIRA,KINGSTON",13
"80","GLEN EIRA,MONASH",25
"81","GLEN EIRA,PORT PHILLIP",18
"82","GLEN EIRA,STONNINGTON",2
"83","GLENELG",71
"84","GLENELG,SOUTHERN GRAMPIANS",1
"85","GOLDEN PLAINS",96
"86","HEPBURN",67
"87","HEPBURN,MACEDON RANGES",1
"88","HINDMARSH",22
"89","HINDMARSH,YARRIAMBIACK",1
"90","HOBSONS BAY",242
"91","HOBSONS BAY,MARIBYRNONG",5
"92","HOBSONS BAY,WYNDHAM",12
"93","HORSHAM",86
"94","HORSHAM,YARRIAMBIACK",1
"95","HUME",663
"96","HUME,MACEDON RANGES",2
"97","INDIGO",65
"98","INDIGO,WANGARATTA",1
"99","INDIGO,WODONGA",2
"100","KINGSTON",418
"101","KINGSTON,FRANKSTON",2
"102","KINGSTON,MONASH",23
"103","KNOX",373
"104","KNOX,YARRA RANGES",10
"105","LATROBE",234
"106","LATROBE,WELLINGTON",3
"107","LODDON",50
"108","LODDON,MOUNT ALEXANDER",1
"109","MACEDON RANGES",161
"110","MANNINGHAM",243
"111","MANNINGHAM,MAROONDAH",1
"112","MANNINGHAM,WHITEHORSE",9
"113","MANNINGHAM,YARRA RANGES",3
"114","MANSFIELD",94
"115","MARIBYRNONG",249
"116","MAROONDAH",298
"117","MAROONDAH,WHITEHORSE",3
"118","MAROONDAH,YARRA RANGES",11
"119","MELBOURNE",951
"120","MELBOURNE,MOONEE VALLEY",20
"121","MELBOURNE,MORELAND",7
"122","MELBOURNE,PORT PHILLIP",40
"123","MELBOURNE,PORT PHILLIP,STONNINGTON",3
"124","MELBOURNE,STONNINGTON",18
"125","MELBOURNE,YARRA",46
"126","MELTON",316
"127","MELTON,WYNDHAM",8
"128","MILDURA",180
"129","MITCHELL",200
"130","MOIRA",119
"131","MONASH",549
"132","MONASH,STONNINGTON",16
"133","MONASH,WHITEHORSE",23
"134","MOONEE VALLEY",323
"135","MOORABOOL",165
"136","MORELAND",558
"137","MORELAND,YARRA",6
"138","MORNINGTON PENINSULA",411
"139","MORNINGTON PENINSULA,FRANKSTON",4
"140","MOUNT ALEXANDER",65
"141","MOYNE",82
"142","MOYNE,SOUTHERN GRAMPIANS",2
"143","MOYNE,WARRNAMBOOL",1
"144","MURRINDINDI,MURRINDINDI",190
"145","MURRINDINDI,MURRINDINDI,MANSFIELD",1
"146","MURRINDINDI,MURRINDINDI,NILLUMBIK",1
"147","MURRINDINDI,MURRINDINDI,STRATHBOGIE",1
"148","MURRINDINDI,MURRINDINDI,YARRA RANGES",2
"149","NILLUMBIK",161
"150","NILLUMBIK,WHITTLESEA",8
"151","NILLUMBIK,YARRA RANGES",2
"152","NORTHERN GRAMPIANS",66
"153","NORTHERN GRAMPIANS,PYRENEES",2
"154","NORTHERN GRAMPIANS,YARRIAMBIACK",1
"155","PORT PHILLIP",372
"156","PORT PHILLIP,STONNINGTON",3
"157","PYRENEES",58
"158","QUEENSCLIFFE",4
"159","SHEPPARTON",232
"160","SOUTH GIPPSLAND",136
"161","SOUTHERN GRAMPIANS",52
"162","STONNINGTON",350
"163","STRATHBOGIE",66
"164","SURF COAST",108
"165","SWAN HILL",67
"166","TOWONG",49
"167","WANGARATTA",91
"168","WANGARATTA,MOIRA",1
"169","WARRNAMBOOL",92
"170","WELLINGTON",236
"171","WEST WIMMERA",27
"172","WHITEHORSE",390
"173","WHITTLESEA",609
"174","WODONGA",87
"175","WYNDHAM",461
"176","YARRA",450
"177","YARRA RANGES",553
"178","YARRA RANGES,MAROONDAH",1
"179","YARRIAMBIACK",17
